ID,Nombre,Categoría,Teléfono,WhatsApp_Estado,URL_Oficial_GitHubPages,URL_Alternativa_Surge,Dirección
"01_VILLA_TOSCANA","Restaurante Villa Toscana Orihuela","Cocina italiana y mediterránea artesanal","+34 692 09 60 96","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/villa-toscana/","https://meson-laposada.surge.sh","Calle San Agustín, 03300 Orihuela, Alicante"
"02_SPEED_LIMIT_CARS","Speed Limit Cars","Taller electromecánica & diagnosis avanzada","+34 609 817 036","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/speed-limit-cars/","https://speedlimit-cars.surge.sh","Calle Sol, 31, 03300 Orihuela, Alicante"
"03_PIZZERIA_LUCCIANA","Pizzería Lucciana","Pizzería artesana italiana","+34 647 02 02 17","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/pizzeria-lucciana/","https://pizzeria-lucciana.surge.sh","Calle Monseñor Espinosa, 2 (Parque Ocarasa), 03300 Orihuela, Alicante"
"04_AUTOESCUELA_ORIHUELA","Autoescuela Orihuela","Formación vial permisos B, A2, CAP","+34 638 829 329","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/autoescuela-orihuela/","https://autoescuela-orihuela.surge.sh","Avda. Duque de Tamames, 37 / Plaza Santiago, 5, 03300 Orihuela, Alicante"
"05_OK_INMOBILIARIA","OK Inmobiliaria","Agencia inmobiliaria en Vega Baja","+34 600 581 200","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/ok-inmobiliaria/","https://ok-inmobiliaria.surge.sh","Avenida Teodomiro / Vega Baja, 03300 Orihuela, Alicante"
"06_REFORMAS_AMR","Reformas Generales AMR","Empresa de reformas integrales, cocinas y baños","+34 635 004 160","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/reformas-amr/","https://reformas-amr.surge.sh","Orihuela y Comarca de la Vega Baja, Alicante"
"07_ARROCERIA_EL_SARMIENTO","Arrocería El Sarmiento","Arroces y paellas a leña de sarmiento","+34 617 263 922","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/arroceria-el-sarmiento/","https://arroceria-elsarmiento.surge.sh","Ctra. Torrevieja-Cartagena km 5,7, 03189 Orihuela Costa, Alicante"
"08_GATSBY_GASTRONOMIA","Gatsby Gastronomía","Gastrobar & cocina mediterránea","+34 651 729 813","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/gatsby-gastronomia/","https://gatsby-orihuela.surge.sh","Centro Histórico, 03300 Orihuela, Alicante"
"09_ZENIA_LOUNGE","Zenia Lounge","Restaurante lounge & terraza cócteles","+34 615 793 198","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/zenia-lounge/","https://zenia-lounge.surge.sh","Orihuela Costa, 03189 Alicante"
"10_PUNTO_AMOR","Punto Amor","Cocina creativa & cócteles","+34 604 478 504","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/orihuela/punto-amor/","https://punto-amor.surge.sh","Cabo Roig, 03189 Orihuela Costa, Alicante"
