ID,Nombre,Categoría,Teléfono,WhatsApp_Estado,URL_Oficial_GitHubPages,URL_Alternativa_Surge,Dirección
"01_RESTAURANTE_CARLOS","Restaurante Carlos Elche","Arroces a la leña, carnes y cocina tradicional","+34 625 50 16 50","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/restaurante-carlos/","https://restaurante-carlos-elche.surge.sh","Partida Alzabares Alto, 03290 Elche, Alicante"
"02_COMO_EN_CASA","Como en Casa Elche","Comida casera tradicional & arroces para llevar","+34 608 52 30 81","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/como-en-casa/","https://comoencasa-elche.surge.sh","Carrer Curtidors, 28, 03203 Elche, Alicante"
"03_GASTROBAR_EL_LLOC","Gastrobar El Lloc","Gastrobar, tapas de autor y coctelería","+34 640 30 14 63","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/gastrobar-el-lloc/","https://gastrobar-ellloc.surge.sh","Zona Centro / Plaza de España, 03201 Elche, Alicante"
"04_CORPORACION_DENTAL_ELCHE","Corporación Dental Elche","Clínica dental avanzada e implantes","+34 607 48 64 57","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/corporacion-dental-elche/","https://corporaciondental-elche.surge.sh","Zona Centro, 03202 Elche, Alicante"
"05_DENTAL_ROCA_ELCHE","Dental Roca Elche","Clínica dental familiar y estética dental","+34 647 94 13 59","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/dental-roca-elche/","https://dental-roca-elche.surge.sh","Elche, 03203 Alicante"
"06_CLINICA_DENTAL_GUSTAVO_GARCIA","Clínica Dental Gustavo García del Río","Odontología integral y prótesis dental","+34 645 85 80 84","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/clinica-dental-gustavo-garcia/","https://dental-garciadelrio.surge.sh","Elche Centro, 03201 Alicante"
"07_OMYOS_FISIOTERAPIA","OMYOS Fisioterapia Elche","Fisioterapia avanzada, osteopatía y ecografía","+34 661 60 80 60","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/omyos-fisioterapia/","https://omyos-fisioterapia.surge.sh","C/ Antonio Mora Ferrández, 50 (Frente C.S. Altabix), 03202 Elche, Alicante"
"08_CLINICA_ANTONIO_REVERTE","Clínica Antonio Reverte","Fisioterapia general, readaptación y osteopatía","+34 693 32 20 19","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/clinica-antonio-reverte/","https://fisioterapia-reverte.surge.sh","Carrer Reina Victoria, 111, 03201 Elche, Alicante"
"09_AM_FISIOTERAPIA_AVANZADA","AM Fisioterapia Avanzada Elche","Fisioterapia deportiva, neuromodulación y readaptación","+34 649 55 98 11","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/am-fisioterapia-avanzada/","https://am-fisioterapia.surge.sh","C/ Tonico Sansano Mora, 11, 03201 Elche, Alicante"
"10_TALLER_ELCHE","Taller Elche","Mecánica general, chapa, pintura y diagnosis multimarca","+34 641 16 17 71","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/taller-elche/","https://taller-elche.surge.sh","Polígono Industrial Carrús / Zona Urbana, 03206 Elche, Alicante"
"11_TALLERES_HERMANOS_BRI","Talleres Hermanos Bri SL","Taller electromecánica, chapa y neumáticos","+34 665 26 37 98","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/talleres-hermanos-bri/","https://talleres-hermanosbri.surge.sh","Elche, 03204 Alicante"
"12_BARBERIA_MAS_ESTILO","Barbería Más Estilo Elche","Barbería masculina, degradados y cuidado de barba","+34 643 89 14 10","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/barberia-mas-estilo/","https://barberia-masestilo.surge.sh","Elche Centro, 03201 Alicante"
"13_NOEMI_VIVES_BELLEZA","Noemí Vives Belleza Integral","Centro de estética avanzada, facial y corporal","+34 611 59 08 52","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/noemi-vives-belleza/","https://noemivives-belleza.surge.sh","Centro de Elche, 03202 Alicante"
"14_ANA_UBEDA_ESTILISTAS","Ana Úbeda Estilistas","Peluquería, coloración orgánica y tratamientos capilares","+34 722 78 90 43","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/ana-ubeda-estilistas/","https://anaubeda-estilistas.surge.sh","Elche, 03203 Alicante"
"15_PEPE_PINTOR_ELCHE","Pepe Pintor Elche","Pintor profesional de interiores, fachadas y gotelé","+34 650 51 54 15","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/pepe-pintor-elche/","https://pepe-pintor-elche.surge.sh","Elche y comarca, 03201 Alicante"
"16_ADELANTE_GRUPO_AQUINO","Adelante Grupo Aquino","Reformas integrales de viviendas y locales","+34 667 90 41 76","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/adelante-grupo-aquino/","https://reformas-aquino-elche.surge.sh","Elche y comarca del Baix Vinalopó, Alicante"
"17_CERRAJERIA_J_SANCHEZ","Cerrajería J. Sánchez Elche","Cerrajería urgente 24 horas y seguridad","+34 637 63 57 38","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/cerrajeria-j-sanchez/","https://cerrajeria-sanchez-elche.surge.sh","Elche y comarca, 03201 Alicante"
"18_AUTOESCUELA_TRAFIK_ELCHE","Autoescuela Trafik Elche","Formación vial permisos B, A2, moto y cursos","+34 620 25 53 08","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/autoescuela-trafik-elche/","https://autoescuela-trafik-elche.surge.sh","Elche, 03201 Alicante"
"19_MARGARITA_TALLER_DE_FLORES","Margarita Taller de Flores","Floristería artesanal, ramos de novia y eventos","+34 747 42 76 26","VERIFICADO (WhatsApp Móvil)","https://fathipor.github.io/demos-orihuela/elche/margarita-taller-de-flores/","https://floristeria-margarita-elche.surge.sh","Elche, 03201 Alicante"
